,City,Country,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude,Date
0,Longyearbyen,NO,35.6,69,75,17.22,78.22,15.63,1559264062
1,Saint George,GR,64.4,59,40,4.94,39.45,22.34,1559264063
2,Cabo San Lucas,MX,84.99,60,5,16.11,22.89,-109.91,1559264007
3,Cidreira,BR,62.72,76,100,19.98,-30.17,-50.22,1559264063
4,Souillac,FR,57.99,87,0,1.12,45.6,-0.6,1559264064
5,Sarakhs,TM,75.14,39,40,11.39,36.54,61.16,1559264064
6,Ostrovnoy,RU,46.34,56,1,14.43,68.05,39.51,1559264064
7,Gizo,IL,75.99,88,0,5.82,31.8,34.94,1559264065
8,Tessalit,ML,92.06,7,0,9.48,20.2,1.01,1559264065
9,Axim,GH,78.56,84,100,8.21,4.87,-2.24,1559264065
10,Dikson,RU,31.76,91,69,22.35,73.51,80.55,1559263858
11,Salaga,GH,80.72,77,83,8.63,8.55,-0.52,1559264066
12,Santiago del Estero,AR,56.78,84,0,0.56,-27.8,-64.26,1559263830
13,New Norfolk,AU,55.0,66,75,13.87,-42.78,147.06,1559264066
14,Torbay,CA,37.0,100,90,5.82,47.66,-52.73,1559263967
15,Thompson,CA,42.8,60,90,6.93,55.74,-97.86,1559263750
16,Huangmei,CN,70.1,72,2,2.28,30.1,115.95,1559264067
17,Maceio,BR,75.2,88,75,3.36,-9.67,-35.74,1559263964
18,Nanortalik,GL,38.42,70,0,2.93,60.14,-45.24,1559264067
19,Laguna,MX,91.4,27,5,13.87,27.52,-110.01,1559264067
20,Komsomolskiy,RU,21.86,95,13,5.14,67.55,63.78,1559264068
21,Ribeira Grande,PT,65.96,93,74,8.86,38.52,-28.7,1559263869
22,Santa Marta,CO,84.2,74,40,6.93,11.24,-74.21,1559263896
23,Carnarvon,ZA,57.32,30,55,7.43,-30.97,22.13,1559264069
24,Sagamihara,JP,77.0,60,75,8.05,35.57,139.24,1559264069
25,Mataura,NZ,48.0,91,75,3.94,-46.19,168.86,1559264069
26,Castro,CL,50.0,100,90,17.22,-42.48,-73.76,1559263852
27,Atuona,PF,83.42,75,12,17.11,-9.8,-139.03,1559263853
28,Senneterre,CA,46.4,65,40,10.29,48.39,-77.24,1559264070
29,Lompoc,US,73.0,77,75,12.75,34.64,-120.46,1559263785
30,Coquimbo,CL,59.0,87,0,4.7,-29.95,-71.34,1559264070
31,Altamont,CA,89.6,19,1,18.34,49.4,-98.5,1559264071
32,Norman Wells,CA,51.8,62,75,2.24,65.28,-126.83,1559264071
33,Punta Arenas,CL,26.6,100,40,3.36,-53.16,-70.91,1559263846
34,Hilo,US,80.6,65,90,8.05,19.71,-155.08,1559264072
35,San Policarpo,PH,85.76,71,84,7.27,12.18,125.51,1559264072
36,Tuatapere,NZ,48.0,91,82,12.48,-46.13,167.69,1559264072
37,Yellowknife,CA,44.6,56,40,8.05,62.45,-114.38,1559263866
38,Saint-Louis,CH,55.99,81,0,2.24,47.59,7.56,1559264073
39,Ruwi,OM,89.6,24,0,4.09,23.6,58.55,1559264073
40,Leningradskiy,RU,32.48,98,76,4.74,69.38,178.42,1559263856
41,Natal,BR,77.0,88,75,4.7,-5.81,-35.21,1559264074
42,Rikitea,PF,77.48,83,25,15.75,-23.12,-134.97,1559263786
43,Bluff,AU,61.28,28,83,18.32,-23.58,149.07,1559263865
44,Hithadhoo,MV,82.88,77,100,19.55,-0.6,73.08,1559264074
45,Vaini,IN,75.2,88,20,5.82,15.34,74.49,1559263850
46,Cape Town,ZA,57.99,100,1,1.12,-33.93,18.42,1559264075
47,Jamestown,AU,50.12,82,1,4.03,-33.21,138.6,1559263843
48,Tiksi,RU,32.84,95,82,6.38,71.64,128.87,1559263857
49,Mount Gambier,AU,53.6,93,90,12.75,-37.83,140.78,1559263863
50,Narsaq,GL,53.6,20,0,16.11,60.91,-46.05,1559264076
51,San Quintin,PH,87.38,58,57,0.76,17.54,120.52,1559264076
52,Bredasdorp,ZA,50.0,93,67,3.36,-34.53,20.04,1559263878
53,Concarneau,FR,57.0,100,0,2.24,47.88,-3.92,1559264076
54,Kungalv,SE,53.01,93,90,8.05,57.87,11.98,1559264077
55,Yerofey Pavlovich,RU,57.32,34,36,9.06,53.97,121.97,1559264077
56,Hami,CN,70.1,18,0,7.96,42.84,93.51,1559264077
57,Pervomayskoye,RU,43.46,79,91,10.45,57.07,86.23,1559264078
58,Arraial do Cabo,BR,76.22,80,63,16.84,-22.97,-42.02,1559263867
59,Kupang,ID,81.26,75,59,20.83,-10.16,123.6,1559264078
60,Fez,MA,69.8,52,0,14.99,34.03,-5.02,1559264079
61,Saskylakh,RU,33.38,97,98,14.36,71.97,114.09,1559264079
62,Avarua,CK,77.0,78,90,16.11,-21.21,-159.78,1559263587
63,Busselton,AU,64.99,37,30,13.82,-33.64,115.35,1559264079
64,Sergeyevka,KZ,58.4,63,0,8.43,53.88,67.42,1559264080
65,Lavrentiya,RU,42.56,67,93,9.8,65.58,-170.99,1559264081
66,Kavieng,PG,84.5,76,53,11.48,-2.57,150.8,1559264081
67,Port Macquarie,AU,63.0,35,0,10.29,-31.43,152.91,1559263875
68,Khandbari,NP,50.66,70,2,3.24,27.38,87.21,1559264081
69,Carmarthen,GB,62.01,93,99,18.34,51.86,-4.31,1559264082
70,Albany,US,66.99,82,90,8.05,42.65,-73.75,1559263845
71,Ryotsu,JP,73.4,56,100,5.82,38.08,138.43,1559264082
72,Ushuaia,AR,37.4,69,0,5.82,-54.81,-68.31,1559263857
73,Tunceli,TR,59.0,67,0,3.36,39.11,39.55,1559264082
74,Coihaique,CL,37.4,93,90,3.36,-45.58,-72.07,1559264083
75,Lundazi,ZM,58.76,81,9,9.17,-12.29,33.17,1559264083
76,Turukhansk,RU,36.98,77,88,6.26,65.8,87.96,1559264083
77,Qaanaaq,GL,27.8,74,0,4.14,77.48,-69.36,1559263876
78,Normandin,CA,48.2,87,75,8.05,48.84,-72.53,1559264083
79,Kesova Gora,RU,48.32,91,2,3.15,57.58,37.3,1559264084
80,East London,ZA,61.82,41,100,3.0,-33.02,27.91,1559263854
81,Hobart,AU,55.0,66,75,13.87,-42.88,147.33,1559263754
82,Mahebourg,MU,66.99,88,40,9.17,-20.41,57.7,1559263855
83,Hasaki,JP,77.0,64,75,13.87,35.73,140.83,1559264084
84,Kolyvan,RU,48.2,87,0,8.95,55.31,82.74,1559264085
85,Makakilo City,US,87.8,58,75,11.41,21.35,-158.09,1559263896
86,Port Alfred,ZA,56.24,78,97,2.44,-33.59,26.89,1559263853
87,Sicuani,PE,42.38,39,44,3.02,-14.27,-71.23,1559264085
88,Presidencia Roque Saenz Pena,AR,61.28,96,39,5.73,-26.79,-60.44,1559264008
89,Saint-Philippe,CA,70.0,52,90,10.29,45.36,-73.48,1559263862
90,Pihani,IN,89.0,45,0,12.46,27.62,80.2,1559264086
91,Sept-Iles,CA,43.0,93,90,19.46,50.2,-66.38,1559264056
92,Guerrero Negro,MX,63.98,84,5,15.19,27.97,-114.04,1559264086
93,Petropavlovka,RU,56.6,39,11,4.21,50.61,105.32,1559264087
94,Troyes,FR,53.6,93,0,3.36,48.3,4.07,1559264087
95,Berlevag,NO,42.74,72,87,15.14,70.86,29.09,1559264088
96,Butaritari,KI,83.42,80,100,16.6,3.07,172.79,1559263870
97,Margate,AU,55.0,66,75,13.87,-43.03,147.26,1559264088
98,Vestmannaeyjar,IS,46.16,63,0,9.4,63.44,-20.27,1559264088
99,Vikindu,TZ,73.4,94,20,4.7,-6.98,39.3,1559264089
100,Bandarbeyla,SO,75.32,83,100,11.88,9.49,50.81,1559263867
101,Barra Patuca,HN,84.68,79,100,13.73,15.8,-84.28,1559264089
102,Correntina,BR,72.8,68,40,4.21,-13.34,-44.63,1559264089
103,Bodden Town,KY,81.0,83,75,6.93,19.28,-81.25,1559264090
104,Hwange,ZW,56.78,37,0,4.21,-18.35,26.5,1559264090
105,Kamina,CD,65.78,62,35,4.47,-8.74,25.0,1559264090
106,Mount Isa,AU,59.0,33,0,17.22,-20.73,139.49,1559264090
107,Puerto Ayora,EC,78.8,65,20,14.99,-0.74,-90.35,1559264091
108,Iqaluit,CA,39.2,86,20,3.36,63.75,-68.52,1559264091
109,Yerbogachen,RU,49.76,38,100,10.78,61.28,108.01,1559264091
110,Zhangjiakou,CN,52.46,24,0,10.92,40.77,114.88,1559264092
111,Vao,EE,51.2,49,97,12.71,59.1,26.19,1559264092
112,Tuktoyaktuk,CA,42.8,60,40,14.99,69.44,-133.03,1559264092
113,Gwadar,PK,88.28,69,0,14.2,25.12,62.33,1559264093
114,Tual,ID,81.8,81,49,18.97,-5.67,132.75,1559264093
115,Benguela,AO,73.16,82,0,10.54,-12.58,13.4,1559264093
116,Ahipara,NZ,57.99,100,100,28.25,-35.17,173.16,1559263865
117,Manali,IN,21.5,61,35,8.55,32.25,77.19,1559264094
118,Omsukchan,RU,62.72,34,100,7.23,62.53,155.8,1559264094
119,Tasiilaq,GL,32.0,80,13,11.41,65.61,-37.64,1559264094
120,Sao Filipe,CV,74.42,87,1,16.06,14.9,-24.5,1559264095
121,Mareeba,AU,77.0,78,75,11.41,-16.99,145.42,1559264095
122,Clyde River,CA,35.6,80,1,2.24,70.47,-68.59,1559263879
123,Ancud,CL,50.0,100,90,17.22,-41.87,-73.83,1559264095
124,Yazman,SY,82.34,21,69,4.36,36.74,38.46,1559264095
125,Hermanus,ZA,55.99,90,36,1.99,-34.42,19.24,1559263849
126,Nikolskoye,RU,44.01,70,0,4.47,59.7,30.79,1559264096
127,Faanui,PF,81.26,67,88,4.36,-16.48,-151.75,1559263846
128,Pangnirtung,CA,46.34,57,3,4.23,66.15,-65.72,1559264097
129,Northam,GB,60.01,93,75,6.93,51.04,-4.21,1559264097
130,Port-Cartier,CA,43.0,93,90,19.46,50.03,-66.88,1559264097
131,Flin Flon,CA,52.28,39,76,8.21,54.77,-101.88,1559264098
132,Fortuna,ES,64.0,77,0,5.82,38.18,-1.13,1559264098
133,Namatanai,PG,81.8,80,84,7.78,-3.66,152.44,1559263848
134,Khandyga,RU,58.58,59,97,8.28,62.65,135.58,1559264098
135,Barrow,AR,45.44,69,100,4.74,-38.31,-60.23,1559264099
136,Chuy,UY,58.4,76,100,13.82,-33.69,-53.46,1559264099
137,Minnehaha,US,80.01,47,1,8.43,45.66,-122.62,1559264099
138,Bathsheba,BB,80.6,78,75,16.11,13.22,-59.52,1559264100
139,Solnechnyy,RU,44.36,93,100,2.04,50.72,136.64,1559264100
140,Saldanha,PT,65.6,48,0,5.77,41.42,-6.55,1559263883
141,New Castle,US,69.01,88,75,11.41,41.0,-80.35,1559264101
142,Bethel,US,62.6,39,75,11.41,60.79,-161.76,1559263851
143,Gorgota,RO,63.0,93,0,6.44,44.98,25.51,1559264101
144,Haines Junction,CA,61.1,32,53,10.13,60.75,-137.51,1559264102
145,Port Lincoln,AU,56.78,73,99,6.08,-34.72,135.86,1559264102
146,Havelock,US,84.99,74,1,18.34,34.88,-76.9,1559263807
147,Katherine,AU,69.8,32,0,19.46,-14.47,132.26,1559264102
148,Rome,IT,59.0,93,20,2.24,41.89,12.48,1559264049
149,Kaitangata,NZ,51.01,69,90,4.0,-46.28,169.85,1559264103
150,Kodiak,US,75.2,37,40,5.82,39.95,-94.76,1559264103
151,Russell,AR,50.0,76,90,3.36,-33.01,-68.8,1559264104
152,Grants,US,66.2,35,1,13.87,35.15,-107.85,1559264104
153,Juneau,US,69.8,37,90,8.05,58.3,-134.42,1559264105
154,Najran,SA,78.8,34,0,2.66,17.54,44.22,1559264105
155,Maragogi,BR,73.7,91,4,2.46,-9.01,-35.22,1559264106
156,Hammerfest,NO,41.0,75,75,18.34,70.66,23.68,1559264106
157,Atambua,ID,82.34,72,66,16.84,-9.11,124.89,1559264106
158,Poum,MK,45.8,86,1,2.24,41.28,20.71,1559264106
159,Darhan,MN,58.04,42,2,4.0,49.49,105.92,1559264107
160,Fuerte Olimpo,BR,83.78,53,50,4.32,-21.04,-57.87,1559263809
161,Hirtshals,DK,50.0,91,91,4.0,57.59,9.96,1559264107
162,Semirom,IR,52.28,46,0,0.74,31.41,51.57,1559264107
163,Miyako,JP,70.0,68,75,9.17,33.63,130.94,1559264108
164,Puerto Leguizamo,CO,78.92,73,100,2.26,-0.19,-74.78,1559264108
165,Naze,NG,73.34,97,100,3.76,5.43,7.07,1559264108
166,Yamada,JP,75.2,49,75,9.17,36.58,137.08,1559264108
167,Suntar,RU,59.12,33,0,5.57,62.16,117.65,1559264109
168,Mar del Plata,AR,39.68,69,94,6.4,-46.43,-67.52,1559263872
169,Beatrice,US,75.99,60,1,4.7,40.27,-96.75,1559264109
170,Valdivia,CL,53.6,93,90,9.17,-39.81,-73.25,1559263810
171,Maralal,KE,62.18,84,26,5.68,1.1,36.7,1559264110
172,Alofi,NU,80.6,74,40,9.17,-19.06,-169.92,1559263582
173,Richards Bay,ZA,66.5,72,0,5.73,-28.77,32.06,1559264110
174,Brae,GB,44.6,75,15,10.29,60.4,-1.35,1559264110
175,Bavly,RU,62.54,92,0,7.2,54.4,53.24,1559264111
176,Teahupoo,PF,84.2,70,75,11.41,-17.83,-149.27,1559264111
177,Santa Barbara,US,73.99,56,1,12.75,34.42,-119.7,1559263969
178,Kapaa,US,84.2,74,40,13.87,22.08,-159.32,1559264112
179,Sao Joao da Barra,BR,69.92,98,0,3.76,-21.64,-41.05,1559263598
180,Lasa,CY,75.2,83,90,9.17,34.92,32.53,1559264112
181,Copiapo,CL,59.0,72,0,6.93,-27.37,-70.33,1559264112
182,Mananjary,MG,58.76,96,42,1.7,-19.16,46.8,1559263844
183,Nakusp,CA,57.99,99,93,4.18,50.24,-117.8,1559264113
184,Porto Novo,BR,68.0,88,40,12.15,-23.68,-45.44,1559264113
185,Upernavik,GL,32.84,85,15,5.1,72.79,-56.15,1559263875
186,Sinnamary,GF,81.62,81,98,15.21,5.38,-52.96,1559264114
187,Salinas,US,70.0,67,1,21.92,36.67,-121.66,1559264114
188,Yulara,AU,50.0,46,0,18.34,-25.24,130.99,1559263848
189,Caravelas,BR,75.32,85,1,3.27,-17.73,-39.27,1559264114
190,Lagoa,PT,70.0,46,0,11.41,37.14,-8.45,1559264115
191,Ibadan,NG,77.84,82,100,4.0,7.38,3.9,1559264115
192,Beringovskiy,RU,47.96,55,0,6.67,63.05,179.32,1559263862
193,General Roca,AR,44.6,93,40,3.36,-39.03,-67.58,1559264116
194,Hailar,CN,52.64,65,97,11.45,49.2,119.7,1559264116
195,Ara,SY,71.6,49,0,5.82,35.71,36.15,1559264117
196,Carauari,BR,82.34,68,94,0.65,-4.88,-66.9,1559264117
197,Kulhudhuffushi,MV,83.78,79,100,9.4,6.62,73.07,1559264117
198,Victoria,BN,84.2,83,75,1.12,5.28,115.24,1559263860
199,Lorengau,PG,83.6,78,59,7.61,-2.02,147.27,1559264118
200,Severo-Kurilsk,RU,39.14,92,100,38.74,50.68,156.12,1559264118
201,Nome,US,84.0,74,1,3.36,30.04,-94.42,1559264119
202,Sorland,NO,43.82,75,0,6.29,67.67,12.69,1559264119
203,Ati,TD,82.34,65,100,10.47,13.21,18.34,1559264119
204,Kahului,US,84.2,61,90,16.11,20.89,-156.47,1559264120
205,Numan,NG,82.88,63,84,3.67,9.46,12.04,1559264120
206,Luderitz,NA,53.6,100,9,8.05,-26.65,15.16,1559264121
207,Maple Creek,CA,81.44,26,7,15.28,49.91,-109.46,1559264121
208,Shaowu,CN,67.58,98,100,2.98,27.34,117.49,1559264121
209,Constitucion,MX,86.0,8,5,2.24,23.99,-104.67,1559264122
210,Mariental,DE,60.01,89,69,3.0,52.28,10.99,1559264122
211,Alakurtti,RU,44.01,75,29,4.0,66.96,30.34,1559264122
212,Upata,VE,78.38,70,100,5.26,8.02,-62.41,1559264123
213,Zhanaozen,KZ,74.6,46,55,13.4,43.35,52.85,1559264123
214,Dali,CN,62.18,69,1,2.13,25.6,100.24,1559263846
215,Zhigansk,RU,45.44,56,0,16.49,66.77,123.37,1559264123
216,Isangel,VU,80.6,69,20,11.41,-19.55,169.27,1559264123
217,Dakar,SN,71.6,83,0,20.8,14.69,-17.45,1559264124
218,Siocon,PH,85.58,71,59,5.3,11.03,124.04,1559264124
219,Staryy Nadym,RU,34.28,95,100,14.9,65.61,72.68,1559264124
220,Betare Oya,CM,68.12,93,100,0.76,5.6,14.08,1559264125
221,Poso,ID,66.5,91,86,4.12,-1.4,120.75,1559264125
222,Along,IN,57.5,73,55,4.29,28.17,94.8,1559264125
223,Ponta do Sol,BR,67.4,90,79,4.16,-20.63,-46.0,1559264126
224,Port Elizabeth,US,72.0,100,1,4.7,39.31,-74.98,1559263853
225,Yumen,CN,65.24,19,0,6.82,40.29,97.04,1559264126
226,Airai,TL,80.0,65,65,8.08,-8.93,125.41,1559263879
227,Cherskiy,RU,60.92,32,18,6.11,68.75,161.3,1559264127
228,Ilulissat,GL,44.6,56,0,4.7,69.22,-51.1,1559264127
229,Jacareacanga,BR,78.2,76,47,1.68,-6.22,-57.76,1559264127
230,San Andres,PH,85.94,69,62,3.13,13.32,122.68,1559264128
231,Rawson,AR,44.6,70,75,11.41,-43.3,-65.11,1559264128
232,Dutlwe,BW,56.24,31,0,8.34,-23.98,23.93,1559264128
233,Husavik,CA,81.0,24,4,3.0,50.56,-96.99,1559264129
234,Jackson,US,80.01,73,20,6.26,35.61,-88.82,1559264100
235,Pevek,RU,34.82,84,0,7.83,69.7,170.27,1559264129
236,Mwanza,TZ,69.8,83,20,6.67,-2.52,32.9,1559263878
237,Nicoya,CR,80.6,83,75,8.05,10.15,-85.45,1559264130
238,Pisco,PE,66.2,82,90,8.05,-13.71,-76.2,1559264130
239,Parbhani,IN,94.22,24,58,7.16,19.26,76.77,1559264131
240,Areka,ET,66.14,77,78,0.22,7.07,37.71,1559264131
241,Talnakh,RU,32.0,89,75,15.66,69.49,88.39,1559263877
242,Krasnoyarskiy,RU,63.26,55,1,1.77,51.97,59.9,1559264131
243,Trelew,AR,44.6,70,75,11.41,-43.25,-65.31,1559264132
244,Karpathos,GR,68.0,88,93,21.92,35.51,27.21,1559264132
245,Antofagasta,CL,59.0,82,75,10.29,-23.65,-70.4,1559264132
246,Aleppo,SY,79.1,31,93,5.12,36.2,37.17,1559263947
247,Bam,IR,67.76,38,24,1.32,29.11,58.36,1559263989
248,Pyapon,MM,82.52,83,100,4.79,16.29,95.68,1559264133
249,Khatanga,RU,44.0,84,100,15.43,71.98,102.47,1559264133
250,Nabire,ID,74.6,93,100,2.21,-3.36,135.5,1559264133
251,Kavaratti,IN,85.76,69,87,7.16,10.57,72.64,1559263882
252,Capinopolis,BR,74.42,59,6,2.44,-18.68,-49.57,1559264081
253,Merauke,ID,81.98,80,86,21.05,-8.49,140.4,1559264134
254,Cananea,MX,82.4,8,1,5.82,30.98,-110.3,1559264135
255,Healdsburg,US,75.99,77,1,9.17,38.61,-122.87,1559264135
256,Kerva,RU,53.18,95,22,4.88,55.61,39.58,1559264135
257,Baoro,CF,67.94,97,100,3.22,5.69,15.95,1559264136
258,Lomovka,RU,57.2,71,63,2.24,53.92,58.37,1559264136
259,Oussouye,SN,75.2,83,0,4.7,12.49,-16.54,1559264136
260,Nhulunbuy,AU,78.8,69,75,14.99,-12.18,136.78,1559264136
261,Manaure,CO,82.52,82,100,14.0,11.78,-72.45,1559264137
262,Sabha,LY,89.18,24,1,19.64,27.03,14.43,1559264137
263,Tazovskiy,RU,33.38,97,100,12.17,67.47,78.7,1559263872
264,Mae Hong Son,MM,77.0,94,75,2.33,19.3,97.96,1559264138
265,Goya,AR,58.94,96,71,7.11,-29.14,-59.27,1559264138
266,Limon,US,68.0,26,1,7.11,39.26,-103.69,1559264139
