,City,Country,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude,Date
267,Hofn,IS,27.98,82,24,3.0,64.25,-15.21,1559264139
268,Santiago,CL,63.0,87,75,4.7,-33.44,-70.65,1559264114
269,Thinadhoo,MV,81.98,82,100,17.81,0.53,72.93,1559264140
270,Kruisfontein,ZA,58.58,78,100,2.17,-34.0,24.73,1559264140
271,Portland,US,80.01,44,75,4.7,45.52,-122.67,1559263896
272,Marsabit,KE,81.08,58,32,19.98,2.34,37.99,1559264141
273,Camargo,MX,92.24,5,0,5.21,27.69,-105.17,1559264141
274,Olovo,BA,51.8,87,75,2.24,44.13,18.58,1559264141
275,Strezhevoy,RU,33.8,86,0,6.71,60.73,77.6,1559264141
276,Nara,JP,73.99,46,75,3.36,34.68,135.8,1559263898
277,Olga,US,82.4,64,1,5.82,34.11,-118.17,1559264118
278,Filadelfia,PY,68.3,92,28,9.28,-22.35,-60.04,1559264142
279,Uvinza,TZ,66.5,92,0,2.53,-5.1,30.39,1559264142
280,Santa Clara,CU,80.6,74,75,11.41,22.41,-79.97,1559264050
281,Victoria,BN,84.2,83,75,1.12,5.28,115.24,1559264144
282,Bocana de Paiwas,NI,77.12,77,98,4.36,12.79,-85.12,1559264144
283,Pavlovskiy,RU,59.0,100,2,2.24,45.07,37.77,1559264144
284,Nahrin,AF,65.24,39,83,6.29,36.06,69.13,1559264145
285,Kuntaur,GM,86.48,41,21,14.03,13.67,-14.89,1559264145
286,Codrington,AU,60.01,41,0,5.82,-28.95,153.24,1559264146
287,Pangai,TO,80.6,69,20,8.05,-19.8,-174.35,1559264146
288,Panambi,BR,60.92,98,100,3.51,-28.29,-53.5,1559264146
289,Doha,QA,91.4,36,0,4.7,25.29,51.53,1559263904
290,Georgetown,GY,80.6,83,40,9.17,6.8,-58.16,1559264147
291,Dinard,FR,57.99,93,90,2.86,48.63,-2.06,1559264147
292,Exu,BR,80.6,61,20,2.24,-7.52,-39.72,1559264147
293,Crixas,BR,78.38,53,67,1.79,-14.55,-49.97,1559264148
294,Nemuro,JP,66.2,59,0,8.05,43.32,145.57,1559264148
295,Minab,IR,82.4,69,0,6.93,27.15,57.07,1559264148
296,Vyartsilya,RU,44.36,56,55,9.73,62.18,30.69,1559264148
297,Sorong,ID,82.52,81,70,2.48,-0.86,131.25,1559264149
298,Terrace,CA,80.6,36,75,9.17,54.52,-128.61,1559264149
299,Aklavik,CA,53.6,37,20,5.82,68.22,-135.01,1559264150
300,Vardo,US,73.99,83,75,9.17,39.62,-77.74,1559264150
301,Abalak,NE,93.86,33,39,12.84,15.46,6.28,1559264150
302,Buala,SB,82.88,76,99,14.05,-8.15,159.59,1559264150
303,Shenjiamen,CN,66.5,83,84,10.4,29.96,122.3,1559264151
304,La Ronge,CA,53.6,66,75,11.41,55.1,-105.3,1559264151
305,Nokaneng,BW,56.78,35,0,4.99,-19.66,22.19,1559264151
306,Qasigiannguit,GL,44.6,56,0,4.7,68.82,-51.19,1559264151
307,Hovd,NO,44.01,86,90,10.29,63.83,10.7,1559264152
308,Nyrob,RU,58.58,98,87,4.14,60.74,56.73,1559264152
309,San Patricio,PY,63.08,97,100,2.51,-26.98,-56.83,1559264152
310,Auki,NG,83.6,59,100,10.85,12.18,6.51,1559264153
311,Ta Khmau,KH,82.4,83,40,2.24,11.48,104.95,1559264153
312,Benjamin Aceval,PY,68.0,94,90,10.29,-24.97,-57.57,1559264154
313,Turkan,AF,57.32,50,63,3.33,35.6,68.92,1559264154
314,Mayo,CA,68.0,37,75,9.17,63.59,-135.9,1559264154
315,Klaksvik,FO,39.2,80,82,4.7,62.23,-6.59,1559264154
316,Lata,IN,32.48,43,0,11.54,30.78,78.62,1559264155
317,Oeiras,BR,76.76,76,52,3.24,-7.01,-42.13,1559264155
318,Pamekasan,ID,80.18,71,100,7.9,-7.16,113.47,1559264155
319,Arvi,IN,98.72,18,94,0.47,21.0,78.23,1559264156
320,Codajas,BR,75.14,96,99,1.74,-3.84,-62.06,1559264156
321,Kaeo,NZ,57.99,100,85,14.36,-35.1,173.78,1559264156
322,Bambous Virieux,MU,66.99,88,40,9.17,-20.34,57.76,1559263857
323,Baghdad,IQ,77.0,31,0,4.7,33.3,44.38,1559264157
324,Tabriz,IR,59.0,54,20,6.93,38.08,46.29,1559264157
325,Masterton,NZ,59.45,65,93,10.76,-40.95,175.66,1559263892
326,Banda Aceh,ID,83.96,74,100,6.35,5.56,95.32,1559264158
327,Sijunjung,ID,68.3,92,91,2.57,-0.69,100.95,1559264158
328,Mwense,ZM,60.92,69,33,4.97,-10.39,28.7,1559264159
329,Kapit,MY,79.28,81,100,1.05,2.02,112.94,1559264159
330,Opuwo,NA,60.02,55,0,1.81,-18.06,13.84,1559264159
331,Mattru,SL,76.22,95,100,2.86,7.62,-11.83,1559264159
332,Yueyang,CN,71.36,71,0,1.77,29.36,113.12,1559264160
333,Vostok,RU,58.76,52,99,12.75,46.45,135.83,1559264160
334,Esperance,TT,81.0,74,100,6.93,10.24,-61.45,1559263852
335,Lebu,ET,60.8,77,75,4.7,8.96,38.73,1559264161
336,Shihezi,CN,72.44,25,91,5.84,44.3,86.03,1559264161
337,Urucara,BR,75.32,95,100,0.58,-2.54,-57.76,1559264162
338,Victoria Point,AU,64.0,19,0,11.41,-27.58,153.3,1559264162
339,Milazzo,IT,61.0,87,20,4.7,38.22,15.24,1559264162
340,Maumere,ID,80.54,73,75,9.55,-8.63,122.22,1559264163
341,Chokurdakh,RU,38.06,77,100,14.58,70.62,147.9,1559264163
342,Skelleftea,SE,44.01,100,100,11.41,64.75,20.95,1559264163
343,Labuhan,ID,79.64,79,97,0.51,-2.54,115.51,1559264163
344,Saint-Pierre,FR,53.6,93,20,4.7,48.95,4.24,1559264164
345,Dinguiraye,GN,82.88,58,38,10.92,11.29,-10.71,1559264164
346,Jeremie,HT,80.9,68,7,2.33,18.65,-74.12,1559264165
347,Mastic Beach,US,61.0,93,90,6.93,40.77,-72.85,1559264165
348,Muroto,JP,71.6,68,75,3.36,33.37,134.14,1559264165
349,Tabuk,PH,72.8,85,98,0.63,17.41,121.44,1559264166
350,Fairbanks,US,75.0,30,40,6.93,64.84,-147.72,1559263987
351,Sitka,US,75.99,42,0,7.67,37.17,-99.65,1559264166
352,Marquette,US,52.0,27,5,11.41,46.54,-87.4,1559263958
353,Half Moon Bay,US,66.99,93,90,6.93,37.46,-122.43,1559263963
354,Teixoso,PT,61.64,42,0,6.69,40.31,-7.46,1559264167
355,Lazaro Cardenas,MX,91.4,6,5,6.93,28.39,-105.62,1559264167
356,Mutare,MZ,48.86,91,0,1.54,-18.97,32.67,1559264168
357,Zhezkazgan,KZ,66.32,39,9,12.48,47.8,67.71,1559264168
358,Novo Aripuana,BR,76.94,82,73,1.12,-5.12,-60.38,1559264169
359,New Milford,US,64.4,93,90,4.7,40.94,-74.02,1559264042
360,Constantine,DZ,46.4,81,0,1.05,36.36,6.61,1559264169
361,Cayenne,GF,77.0,94,96,2.24,4.94,-52.33,1559264169
362,Ayolas,PY,64.34,97,81,2.48,-27.39,-56.84,1559264170
363,Shelburne,CA,68.0,64,1,6.93,44.08,-80.2,1559264170
364,Soderhamn,SE,41.0,86,63,3.0,61.3,17.06,1559264171
365,Cockburn Town,TC,80.9,79,0,15.82,21.46,-71.14,1559263881
366,Augusto Correa,BR,74.6,98,100,2.26,-1.02,-46.63,1559263873
367,Sao Felix do Xingu,BR,74.06,84,42,3.51,-6.64,-51.99,1559264172
368,Quesnel,CA,82.4,21,1,2.24,52.98,-122.49,1559264173
369,Manacor,ES,63.0,82,0,2.24,39.57,3.21,1559264063
370,Tahe,CN,55.88,46,18,11.14,52.34,124.71,1559264173
371,Kapuskasing,CA,46.4,45,75,8.05,49.42,-82.43,1559263902
372,Inuvik,CA,53.6,37,20,5.82,68.36,-133.71,1559264173
373,Jalalpur Pirwala,PK,97.46,8,0,6.58,29.5,71.22,1559264174
374,Baruun-Urt,MN,56.78,32,34,14.34,46.68,113.28,1559263863
375,Aitape,PG,85.58,66,57,5.79,-3.15,142.36,1559264174
376,Road Town,VG,82.4,78,75,8.05,18.42,-64.62,1559264175
377,Nizwa,OM,83.24,23,1,1.41,22.93,57.53,1559263854
378,Lakes Entrance,AU,59.0,75,99,3.0,-37.88,147.99,1559264175
379,Manggar,ID,78.56,86,100,4.81,-2.88,108.27,1559264175
380,Mogapinyana,BW,54.62,69,0,2.64,-22.37,27.59,1559264176
381,Sol-Iletsk,RU,61.82,83,0,1.05,51.16,55.0,1559264176
382,Taft,PH,82.52,78,80,3.71,11.9,125.42,1559264176
383,Anzio,IT,59.0,93,20,2.24,41.45,12.63,1559264177
384,Tarbes,FR,61.0,93,0,3.36,43.23,0.08,1559264041
385,Lahaina,US,91.4,48,40,11.41,20.87,-156.68,1559263889
386,Ballina,IE,57.0,95,100,7.0,54.11,-9.15,1559264177
387,Kisangani,CD,71.54,98,100,2.1,0.52,25.21,1559264178
388,Bilma,NE,86.84,42,61,11.68,18.69,12.92,1559264178
389,Caxito,BR,69.56,84,51,4.83,-22.65,-42.51,1559264178
390,Oksfjord,NO,44.6,75,75,18.34,70.24,22.35,1559264179
391,Tanout,NE,87.92,45,98,9.48,14.97,8.88,1559264179
392,Bougouni,ML,86.66,62,75,14.34,11.42,-7.49,1559264179
393,Jackville,CI,78.8,94,40,4.7,5.21,-4.42,1559264179
394,Khangarh,PK,87.8,40,0,6.93,29.91,71.16,1559264180
395,Port Hardy,CA,66.2,52,20,13.87,50.7,-127.42,1559264180
396,Lanzhou,CN,59.0,42,0,4.47,36.06,103.82,1559264180
397,Bongor,TD,90.26,47,96,8.48,10.28,15.37,1559264181
398,Inhambane,MZ,61.28,97,0,6.29,-23.87,35.38,1559264181
399,Inongo,CD,72.44,94,99,3.8,-1.93,18.29,1559264181
400,Bang Saphan,TH,78.8,94,20,2.24,11.21,99.51,1559264181
401,Kanchanaburi,TH,80.72,75,100,2.95,14.03,99.53,1559264182
402,Santa Maria,BR,59.0,100,90,11.41,-29.69,-53.81,1559263847
403,Frutal,BR,73.34,67,0,2.55,-20.02,-48.93,1559264182
404,Abu Zabad,SD,94.04,30,99,8.72,12.35,29.25,1559264182
405,Novellara,IT,60.01,82,40,2.24,44.84,10.73,1559264183
406,Acari,BR,76.58,79,48,14.88,-6.44,-36.64,1559264183
407,Champerico,MX,77.0,83,90,4.7,16.38,-93.6,1559264184
408,Kibaya,RW,64.4,88,40,6.93,-2.2,30.56,1559264184
409,Liaocheng,CN,77.48,22,1,11.3,36.44,115.96,1559264184
410,Gravdal,NO,46.4,70,33,12.75,59.79,5.78,1559264185
411,Paralimni,GR,69.01,60,0,1.01,40.99,23.67,1559264185
412,Lubao,PH,91.0,70,75,2.24,14.94,120.6,1559264185
413,Dingle,PH,86.48,64,40,8.08,11.0,122.67,1559264185
414,Valandovo,MK,69.01,77,19,6.38,41.32,22.56,1559264186
415,Kutum,SD,81.26,42,91,7.38,14.2,24.66,1559264186
416,Viedma,AR,48.68,70,100,8.7,-40.81,-62.99,1559264186
417,Deputatskiy,RU,40.58,83,90,6.24,69.3,139.9,1559264186
418,San Pedro,AR,52.0,79,100,1.99,-33.68,-59.66,1559264188
419,Lamu,ID,81.08,73,100,5.59,0.57,122.3,1559264188
420,Chara,GR,64.4,59,40,4.94,39.42,22.43,1559264188
421,Amuntai,ID,77.12,92,100,0.36,-2.42,115.25,1559264189
422,Ust-Ilimsk,RU,64.7,51,72,6.93,57.96,102.73,1559264189
423,Mayumba,GA,77.12,84,7,10.33,-3.44,10.65,1559264189
424,Avera,US,91.4,42,1,4.7,33.19,-82.53,1559264189
425,Kattivakkam,IN,87.8,74,20,6.93,13.22,80.32,1559264190
426,Noyabrsk,RU,35.18,84,94,16.13,63.2,75.45,1559264190
427,Palana,RU,49.76,71,100,5.39,59.08,159.95,1559264190
428,Mokhsogollokh,RU,59.12,46,100,8.84,61.4,128.95,1559264191
429,Saint Anthony,US,73.4,34,1,5.12,43.97,-111.68,1559264191
430,Saint-Felicien,CA,51.01,87,75,8.05,48.65,-72.45,1559264191
431,Henties Bay,NA,57.99,93,9,3.0,-22.12,14.28,1559264192
432,Udachnyy,RU,53.6,37,0,8.95,66.42,112.4,1559264192
433,Qandala,SO,86.66,54,100,6.11,11.47,49.87,1559264192
434,Oranjemund,ZA,56.24,91,0,11.12,-28.55,16.43,1559264193
435,Alice Springs,AU,50.0,46,0,18.34,-23.7,133.88,1559264193
436,Charagua,BO,68.12,88,1,4.88,-19.79,-63.2,1559264193
437,Gemunden,DE,59.0,83,72,2.51,50.05,9.7,1559264193
438,Asimion,GR,70.0,68,0,6.93,35.05,25.1,1559264194
439,Nadadores,MX,81.98,59,26,9.93,27.03,-101.59,1559264194
440,Newport,GB,61.0,82,90,6.93,51.59,-3.0,1559264194
441,Severodvinsk,RU,42.8,70,0,4.47,64.56,39.82,1559264195
442,Sundsvall,SE,41.0,80,59,3.36,62.39,17.31,1559264195
443,Gusau,NG,83.6,59,100,10.85,12.17,6.66,1559264195
444,Mazyr,BY,54.26,96,67,4.36,52.05,29.27,1559264196
445,Carbonia,IT,61.0,87,0,5.82,39.17,8.53,1559264196
446,Lethem,GY,82.52,68,90,10.4,3.38,-59.8,1559264196
447,Teya,MX,91.4,52,40,20.8,21.05,-89.07,1559264196
448,Touros,BR,77.0,94,75,6.93,-5.2,-35.46,1559264196
449,Shache,CN,71.01,91,90,4.34,38.42,77.24,1559264197
450,Colomi,BO,64.4,62,4,3.36,-17.34,-65.87,1559264197
451,Alekseyevsk,RU,50.3,73,100,5.77,57.84,108.35,1559264198
452,Murray Bridge,AU,60.01,95,73,3.0,-35.12,139.28,1559263930
453,Mahon,IE,57.99,100,75,12.75,51.89,-8.4,1559264198
454,Rajnagar,BD,77.66,93,2,6.38,24.52,91.87,1559264198
455,Brigantine,US,72.0,100,1,9.17,39.41,-74.36,1559264199
456,Cabadiangan,PH,87.8,62,20,6.93,10.45,123.98,1559264199
457,Adrar,DZ,89.6,19,40,10.29,27.87,-0.29,1559264199
458,Ketchikan,US,71.6,35,1,14.99,55.34,-131.65,1559264107
459,Nelson Bay,AU,57.99,54,0,20.8,-32.72,152.14,1559264200
460,Farafangana,MG,63.62,90,1,3.69,-22.82,47.83,1559264200
461,Chapais,CA,39.2,70,40,10.29,49.78,-74.86,1559263859
462,Paamiut,GL,37.16,84,66,8.61,61.99,-49.67,1559264200
463,Rio Grande,BR,56.24,95,100,4.76,-32.03,-52.1,1559264157
464,Victor Harbor,AU,60.01,82,75,11.41,-35.55,138.62,1559264201
465,Jablah,SY,71.6,49,0,5.82,35.36,35.93,1559264201
466,Humaita,AR,57.2,82,75,4.27,-24.93,-65.37,1559264202
467,Ballitoville,ZA,57.0,93,0,1.12,-29.54,31.21,1559264202
468,Te Anau,NZ,39.5,79,95,2.42,-45.41,167.72,1559264202
469,Provideniya,RU,41.0,52,90,4.47,64.42,-173.23,1559264203
470,Raudeberg,NO,44.6,81,92,12.75,61.99,5.14,1559264203
471,Awbari,LY,88.46,25,9,21.0,26.59,12.77,1559264203
472,Verkhnyaya Inta,RU,31.94,76,61,10.09,65.99,60.32,1559264204
473,Saurimo,AO,66.68,54,12,4.21,-9.66,20.4,1559264204
474,Katsuura,JP,75.0,64,75,4.7,33.93,134.5,1559263877
475,Biak,ID,67.94,96,92,4.21,-0.91,122.88,1559264205
476,Mana,RS,55.4,87,75,3.36,43.52,20.24,1559264205
477,Westport,IE,57.0,93,100,17.09,53.8,-9.52,1559264205
478,Swan Hill,AU,56.06,80,98,11.27,-35.34,143.56,1559264206
479,Pecos,US,77.0,60,75,9.17,31.42,-103.49,1559264206
480,Mackay,CA,66.2,45,90,6.93,53.65,-115.58,1559264206
481,Saint-Felix-de-Valois,CA,68.0,93,90,2.24,46.17,-73.43,1559264207
482,Abramovka,RU,64.16,69,0,4.81,51.19,41.01,1559264207
483,Pita,GN,70.1,80,23,6.49,11.06,-12.4,1559264207
484,Kenai,US,55.0,66,90,13.87,60.55,-151.26,1559264207
485,Tiarei,PF,84.2,70,75,11.41,-17.53,-149.33,1559264208
486,Camacha,PT,71.01,93,40,13.87,33.08,-16.33,1559263877
487,Jiaocheng,CN,74.6,90,59,1.9,24.68,116.14,1559264208
488,Bowen,AU,68.0,72,90,17.22,-20.01,148.25,1559264208
489,Geilo,NO,33.01,72,7,8.01,60.53,8.21,1559264209
490,Horni Benesov,CZ,53.01,100,20,2.24,49.97,17.6,1559264209
491,Sharjah,AE,86.0,40,0,4.7,25.36,55.39,1559264210
492,Camalu,MX,59.66,89,16,13.42,30.85,-116.07,1559264210
493,Bosaso,SO,87.74,58,100,12.17,11.28,49.18,1559264210
494,Butea,RO,63.0,88,75,5.82,47.07,26.94,1559264211
495,Eldorado,MX,86.0,58,20,13.87,24.32,-107.36,1559264211
496,Caldwell,US,73.99,64,75,5.82,43.67,-116.69,1559263918
497,Pingdingshan,CN,76.4,44,8,3.96,33.74,113.3,1559264212
498,Dubbo,AU,50.0,71,90,12.75,-32.25,148.6,1559264215
499,Mitu,IR,53.9,43,0,4.36,36.2,46.09,1559264216
500,Boddam,GB,46.4,87,90,4.7,57.47,-1.78,1559264216
501,At-Bashi,KG,48.32,55,87,2.28,41.17,75.81,1559263854
502,Banyumas,ID,75.32,85,85,6.02,-7.52,109.29,1559264217
503,Beyneu,KZ,76.04,34,0,8.66,45.32,55.19,1559264217
504,Sibolga,ID,83.24,75,98,6.89,1.74,98.78,1559263851
505,San Borja,BO,75.14,89,44,3.4,-14.86,-66.75,1559264217
506,Harper,US,79.0,78,90,10.29,30.3,-99.24,1559264218
507,Grand Gaube,MU,66.99,88,40,9.17,-20.01,57.66,1559264103
508,Bilibino,RU,42.92,83,1,2.68,68.06,166.44,1559264218
509,Nanakuli,US,87.8,51,75,17.22,21.39,-158.15,1559264219
510,Santa Rosa,AR,45.8,92,95,7.78,-36.62,-64.29,1559264086
511,Yar-Sale,RU,33.38,95,98,13.87,66.83,70.83,1559264221
512,Olinda,EC,79.0,83,75,5.82,-2.03,-79.75,1559264221
513,Port Blair,IN,85.4,71,100,10.76,11.67,92.75,1559264222
514,Tezu,IN,74.24,47,23,3.29,27.93,96.16,1559264223
515,Pembroke,CA,64.4,48,75,11.41,45.82,-77.11,1559264224
516,Namie,JP,73.0,68,75,11.41,37.52,140.86,1559264224
517,Oga,NG,72.98,91,100,7.72,8.18,5.65,1559264224
518,Vagay,RU,54.8,85,97,2.68,57.94,69.02,1559264224
519,Praia,BR,68.0,72,0,3.36,-20.25,-43.81,1559264225
520,Tynda,RU,54.44,43,75,13.73,55.15,124.74,1559264225
521,Reidsville,US,87.8,65,40,3.58,36.35,-79.66,1559264014
522,Sunland Park,US,87.01,25,20,8.05,31.8,-106.58,1559264226
523,Conchal,BR,72.0,93,0,1.12,-22.34,-47.17,1559264226
524,Gaogou,CN,70.1,79,46,4.92,31.12,117.94,1559264226
525,Bubaque,GW,78.74,79,0,15.05,11.28,-15.83,1559264227
526,Sambava,MG,65.6,93,33,2.64,-14.27,50.17,1559264049
527,Lagunillas,VE,69.2,83,100,2.98,8.5,-71.39,1559264227
528,Minot,US,84.2,23,1,16.11,48.23,-101.3,1559264133
529,Bataipora,BR,73.7,79,14,3.29,-22.3,-53.27,1559264228
530,Nanyang,CN,71.54,58,36,3.94,33.0,112.53,1559264228
531,Porto Belo,BR,70.0,94,75,3.36,-27.15,-48.54,1559264229
532,Sura,IN,87.02,15,0,7.07,30.03,77.1,1559264229
533,Walvis Bay,NA,57.99,93,22,4.7,-22.95,14.51,1559264230
534,Vila Velha,BR,81.0,78,20,6.93,-3.71,-38.6,1559264230
535,Aswan,EG,93.2,13,0,5.82,24.09,32.9,1559264230
536,Whitehorse,CA,71.6,33,75,6.93,60.72,-135.06,1559264231
